證券代號,大戶比例_本週,千張比例_本週,散戶比例_本週,大戶比例_上週,千張比例_上週,散戶比例_上週,本週增減,千張本週增減,散戶本週增減,上週增減,分類
8096,40.330000000000005,34.84,59.6,41.46,35.47,58.45,-1.1299999999999955,-0.6299999999999955,1.1499999999999986,-3.719999999999999,續賣
910861,37.47,23.33,62.46,38.629999999999995,23.04,61.29,-1.1599999999999966,0.28999999999999915,1.1700000000000017,1.1499999999999915,下車
3609,52.6,34.35,47.34,53.769999999999996,34.43,46.150000000000006,-1.1699999999999946,-0.0799999999999983,1.1899999999999977,2.780000000000001,下車
3006,55.43000000000001,45.13,44.49,56.7,47.03,43.24,-1.269999999999996,-1.8999999999999986,1.25,-1.7800000000000011,續賣
3081,45.269999999999996,30.15,54.65,46.55,29.87,53.370000000000005,-1.2800000000000011,0.2799999999999976,1.279999999999994,-2.3800000000000026,續賣
00998A,28.66,25.44,71.28,29.95,26.9,70.0,-1.2899999999999991,-1.4599999999999973,1.2800000000000011,-7.010000000000002,續賣
3138,26.17,18.98,73.75,27.5,18.98,72.41,-1.3299999999999983,0.0,1.3400000000000034,-1.5899999999999999,續賣
00984D,42.82,26.53,57.11,44.15,27.68,55.78,-1.3299999999999983,-1.1499999999999986,1.3299999999999983,-1.1199999999999974,續賣
6224,41.78,28.28,58.14,43.120000000000005,28.93,56.81,-1.3400000000000034,-0.6499999999999986,1.3299999999999983,3.680000000000007,下車
0055,38.58,30.71,61.339999999999996,39.95,31.07,59.98,-1.3700000000000045,-0.35999999999999943,1.3599999999999994,-3.3699999999999974,續賣
3231,69.47,65.09,30.45,70.93,66.76,29.0,-1.460000000000008,-1.6700000000000017,1.4499999999999993,1.5100000000000051,下車
6226,31.11,24.96,68.82,32.59,24.98,67.35,-1.480000000000004,-0.019999999999999574,1.4699999999999989,5.600000000000001,下車
00642U,45.79,36.83,54.13,47.29,40.19,53.38,-1.5,-3.3599999999999994,0.75,4.809999999999995,下車
6620,62.25,50.58,37.68,63.76,50.19,36.17,-1.509999999999998,0.39000000000000057,1.509999999999998,3.1699999999999946,下車
2491,73.61,67.25,26.32,75.16,67.16,24.759999999999998,-1.5499999999999972,0.09000000000000341,1.5600000000000023,-1.6300000000000097,續賣
7949,97.4,97.4,2.55,98.99,97.49,1.0,-1.5899999999999892,-0.0899999999999892,1.5499999999999998,98.99,下車
00875,19.87,0.0,80.06,21.48,12.75,78.46,-1.6099999999999994,-12.75,1.6000000000000085,1.1800000000000033,下車
7911,63.09,48.59,36.84,64.7,49.09,35.25,-1.6099999999999994,-0.5,1.5900000000000034,-1.3500000000000085,續賣
4416,65.85,49.85,34.08,67.46000000000001,53.6,32.46,-1.6100000000000136,-3.75,1.6199999999999974,-2.859999999999985,續賣
4923,37.61,20.33,62.32,39.269999999999996,23.32,60.65,-1.6599999999999966,-2.990000000000002,1.6700000000000017,1.1599999999999966,下車
4127,71.74,65.58,28.2,73.44,65.41,26.48,-1.7000000000000028,0.1700000000000017,1.7199999999999989,-1.0499999999999972,續賣
2489,29.97,25.8,69.96000000000001,31.76,27.85,68.19,-1.7900000000000027,-2.0500000000000007,1.7700000000000102,1.5100000000000016,下車
6227,72.00999999999999,67.6,27.92,73.80999999999999,67.6,26.130000000000003,-1.7999999999999972,0.0,1.7899999999999991,3.4199999999999875,下車
00852L,49.16,41.93,50.78,50.97,36.02,48.97,-1.8100000000000023,5.909999999999997,1.8100000000000023,-17.320000000000007,續賣
3026,55.42,36.81,44.53,57.330000000000005,38.95,42.61,-1.9100000000000037,-2.1400000000000006,1.9200000000000017,2.3200000000000003,下車
00971,16.35,11.64,83.59,18.299999999999997,11.78,81.64,-1.9499999999999957,-0.1399999999999988,1.9500000000000028,1.6799999999999962,下車
4916,25.15,21.72,74.76,27.14,22.36,72.79,-1.990000000000002,-0.6400000000000006,1.9699999999999989,2.289999999999999,下車
2493,50.33,39.27,49.59,52.39,42.59,47.54,-2.0600000000000023,-3.3200000000000003,2.0500000000000043,2.4000000000000057,下車
1709,70.92,62.12,29.01,73.03999999999999,64.24,26.89,-2.1199999999999903,-2.1199999999999974,2.120000000000001,2.089999999999989,下車
6727,23.31,4.47,76.61,25.87,4.8,74.14,-2.5600000000000023,-0.33000000000000007,2.469999999999999,2.3200000000000003,下車
3167,52.89,41.64,47.04,55.54,41.67,44.38,-2.6499999999999986,-0.030000000000001137,2.6599999999999966,2.240000000000002,下車
00961,9.98,4.55,90.28999999999999,12.71,7.47,87.23,-2.7300000000000004,-2.92,3.059999999999988,4.890000000000001,下車
00656R,73.78999999999999,46.73,26.13,76.71000000000001,46.86,23.2,-2.920000000000016,-0.13000000000000256,2.9299999999999997,2.0,下車
00956,17.869999999999997,11.87,82.06,20.96,11.76,78.97,-3.0900000000000034,0.10999999999999943,3.0900000000000034,-1.0499999999999972,續賣
00962,8.75,3.18,91.15,11.93,7.16,88.01,-3.1799999999999997,-3.98,3.1400000000000006,1.709999999999999,下車
8084,57.28,47.05,42.65,60.52,48.59,39.41,-3.240000000000002,-1.5400000000000063,3.240000000000002,-1.4099999999999966,續賣
00715L,56.64,49.51,43.43,59.93,53.68,40.05,-3.289999999999999,-4.170000000000002,3.3800000000000026,6.93,下車
